City,Latitude,Longitude,MaxTemp (°C),Humidity (%),Cloudiness (%),WindSpeed (meter/sec),Country,Date
Laas,46.62,10.7,8.0,87,40,3.6,IT,06/18/20
Albany,42.6,-73.97,20.0,72,63,0.88,US,06/18/20
De-Kastri,51.47,140.78,8.6,92,100,3.19,RU,06/18/20
Kavieng,-2.57,150.8,29.92,68,27,3.71,PG,06/18/20
San Patricio,19.22,-104.7,26.49,64,17,1.31,MX,06/18/20
Ribeira Grande,38.52,-28.7,17.0,77,75,3.1,PT,06/18/20
Naze,28.37,129.48,30.0,84,75,7.2,JP,06/18/20
Meiningen,50.57,10.42,17.22,83,93,1.54,DE,06/18/20
Aykino,62.22,49.99,13.93,43,0,2.93,RU,06/18/20
Lebu,-37.62,-73.65,11.61,87,100,13.04,CL,06/18/20
Alice Springs,-23.7,133.88,24.0,22,0,3.1,AU,06/18/20
Ballina,-28.87,153.57,19.0,68,90,6.7,AU,06/18/20
Punta Arenas,-53.15,-70.92,-2.0,92,0,1.6,CL,06/18/20
Yellowknife,62.46,-114.35,12.78,57,20,3.1,CA,06/18/20
Arraial do Cabo,-22.97,-42.03,20.64,80,0,7.96,BR,06/18/20
Busselton,-33.65,115.33,13.89,90,20,7.64,AU,06/18/20
Mountain Home,43.13,-115.69,11.0,93,1,3.6,US,06/18/20
Quthing,-30.4,27.7,4.75,66,50,0.6,LS,06/18/20
Hualmay,-11.1,-77.61,16.78,83,70,2.86,PE,06/18/20
Bluff,-46.6,168.33,3.89,83,5,1.34,NZ,06/18/20
Khatanga,71.97,102.5,14.31,35,92,1.61,RU,06/18/20
Yangi Marg`ilon,40.43,71.72,26.0,22,88,3.1,UZ,06/18/20
Lahaina,20.88,-156.68,26.0,65,20,7.2,US,06/18/20
Arrondissement de Dinan,48.42,-2.25,13.0,100,55,2.6,FR,06/18/20
Codrington,-38.27,141.97,13.89,72,91,4.6,AU,06/18/20
Trani,41.27,16.42,23.33,56,1,3.1,IT,06/18/20
Barrow,71.29,-156.79,4.0,80,1,5.1,US,06/18/20
Beidao,34.57,105.89,30.45,24,5,0.44,CN,06/18/20
Port Alfred,-33.59,26.89,13.89,63,0,0.89,ZA,06/18/20
Statesville,35.78,-80.89,18.0,93,90,0.33,US,06/18/20
Bambous Virieux,-20.34,57.76,23.33,73,75,7.7,MU,06/18/20
Ushuaia,-54.8,-68.3,1.0,86,20,2.1,AR,06/18/20
Rikitea,-23.12,-134.97,24.34,84,46,6.98,PF,06/18/20
Mauá,-23.67,-46.46,15.0,82,0,1.5,BR,06/18/20
Saskylakh,71.92,114.08,18.39,51,84,2.42,RU,06/18/20
Puerto Ayora,-0.74,-90.35,19.44,94,46,3.49,EC,06/18/20
Bredasdorp,-34.53,20.04,5.0,80,3,2.6,ZA,06/18/20
Severnyy,50.68,36.55,25.0,44,72,3.0,RU,06/18/20
Ambilobe,-13.2,49.05,26.81,40,0,1.09,MG,06/18/20
Hobyo,5.35,48.53,28.85,58,100,11.08,SO,06/18/20
Kavaratti,10.57,72.64,30.0,79,90,3.1,IN,06/18/20
Saint-Augustin,51.23,-58.65,13.42,88,70,2.7,CA,06/18/20
Chui,-33.7,-53.46,20.37,76,100,8.09,UY,06/18/20
Severo-Kuril'sk,50.68,156.12,7.55,84,68,2.22,RU,06/18/20
